Ireland,297,170
UK,431,242
Norway,718,40
Sweden,824,55
Finland,1002,44
Denmark,698,199
Netherlands,568,320
Germany,689,335
Poland,903,339
Estonia,1059,135
Latvia,1060,200
Lithuania,1016,245
Belarus,1119,289
France,484,423
Belgium,556,388
Luxembourg,580,413
Switzerland,599,531
Austria,727,552
Czech Republic,776,446
Slovakia,867,514
Ukraine,1109,477
Italy,618,629
Slovenia,767,616
Hungary,873,608
Croatia,849,646
Serbia,923,685
Romania,998,606
Moldova,1132,565
Kosovo,934,753
Bosnia and Herzegovina,857,732
Albania,905,802
Macedonia,956,791
Bulgaria,1045,796
Greece,950,863
Turkey,1316,838
Spain,235,647
Portugal,111,614
Azerbaijan,1724,705
Georgia,1625,701
Armenia,1629,740
Kazakhstan,1729,378
Cyprus,1330,1039
Russia,1424,322
